,Reason,Orders
85,Copyright Infringement Claim — Registration and Legal and Beneficial Ownership,2
86,Misrepresentation Claim — False Statement,2
87,Copyright Registration Number,2
88,Copyright Infringement Claim — Relief Sought,2
89,Proper Respondents,2
90,Misrepresentation Claim — Insufficiency,2
91,Issue — Copyright Infringement Claim — Relief Sought,2
92,Issue — Copyright Infringement Claim — Online Service Provider,2
93,Copyright Infringement — Relief Sought,2
94,Infringed Work — Clarity,2
95,Misrepresentation Claim — No Copyright Misrepresentation,2
96,Work Infringed,2
97,Copyright Infringement Claim — Co—owner,2
98,Clarity — Respondents and Works Infringed,2
99,Misrepresentation Claim — Harm,2
100,Copyright Infringement Claim — Respondent Information,2
101,Contact Information,2
102,Noninfringement Claim — Clarity,2
103,Works Infringed — Registration Number,2
104,Clarity — Respondent,2
105,Clarity — Work Infringed,2
106,Claim Form,2
107,Misrepresentation,2
108,Issue — Misrepresentation Claim — Proper Respondent,2
109,Copyright Infringement Claim — Element of Access,2
110,Copyright Infringement — Clarity — Infringing Activity,2
111,Issue — Copyright Infringement Claim — Element of Access,2
112,Respondent Address / Foreign Respondent,2
113,Permissible Claims,1
114,Impermissible Claim — Patent Infringement,1
115,Clarity — Legal and Beneficial Ownership,1
116,Clarity — Works Infringed,1
117,Copyright Infringement Claim — Relief Requested Over Statutory Maximum,1
118,Copyright Infringement — Clarity — Respondent,1
119,Designated Service Agent Address,1
120,Infringement Claim — Substantial Similarity,1
121,Copyright Infringement Claim — Infringement Dates,1
122,Copyright Infringement Claim — Authorship,1
123,Copyright Infringement — Ownership and Registration,1
124,Copyright Infringement Claim — Impermissible Allegations,1
125,Type of Claim,1
126,Title,1
127,Issue — Improper Respondent,1
128,Section 512(f) — Misrepresentation,1
129,Good—Faith Belief,1
130,Previous Litigation,1
131,Copyright Infringement — Work Infringed,1
132,Copyright Infringement Claim — Permissible Remedies,1
133,Copyright Infringement Claim — Allegations Unclear,1
134,Copyright Infringement Claim — Unrelated Respondents,1
135,Copyright Infringement Claim — Foreign Respondents,1
136,Misrepresentation Claim — Relief Sought,1
137,Copyright Infringement Claim — Works Infringed,1
138,Clarity — Authorship,1
139,Related Respondents,1
140,Impermissible Respondent — Foreign Entity,1
141,Copyright Infringement Claim — Element of Substantial Similarity,1
142,Pending or Completed Litigation,1
143,Claim for a Declaration of Noninfringement — No Accusation by Respondent that Claimant Infringed,1
144,Claim for a Declaration of Noninfringement — Contradictory Allegations,1
145,Misrepresentation Claim — No DMCA Takedown Notice or Counter—Notice,1
146,Similarity,1
147,Copyright Infringement — Co—Owner,1
148,Legal and Beneficial Owner,1
149,Clarity — Infringed Work,1
150,Amended Claim Against the Uploader,1
151,Work Infringed — Registration Information,1
152,Copyright Infringement Claim — Element of Unauthorized Use,1
153,Issue — Designated Service Agent,1
154,Improper Respondent — Federal or State Entity,1
155,Copyright Infringement Claim — Infringed Work,1
156,Misrepresentation Claim — Elements,1
157,Improper Respondent — Federal or State entity,1
158,Foreign Respondents,1
159,Counter—Notice,1
160,Infringement — Respondent Information,1
161,Expert Witness,1
162,Copyright Infringement — Infringed Work,1
163,Copyright Infringement Claim—Clarity,1
164,Copyright Infringement Claim — Copyright Ownership,1
165,Respondent Information — Address,1
166,Copyright Infringement — Clarity,1
167,Copyright Infringement,1
168,Work Infringed — Author,1
169,Relief Sought — Previous Dispute,1
170,Clarity (Respondent),1
171,Clarity (Infringing Activity),1
172,Impermissible Claim — Breach of Contract,1
173,Impermissible Claim — Relief Enforcement,1
174,Infringing Activities — Clarity,1
175,Copyright Infringement Claim — Infringing Activities,1
176,Improper Registration,1
177,Allegedly Infringing Activities for Each Alleged Work,1
178,Misrepresentation Claim — Relief,1
179,Legal or Beneficial Ownership (“Once In A Lifetime”),1
180,Noninfringment — Claim Clarity,1
181,Genuine Dispute,1
182,Allegedly Infringing Works and Activities,1
183,Reasons Why No Infringement Occurred,1
184,Respondent Name and Address,1
185,Relief Sought — Impermissible Remedy,1
186,Current litigation,1
187,Infringement 2,1
188,How the respondent accused you of infringement,1
189,Proper Respondent — Co—owner,1
190,Exclusive Rights,1
191,Respondent Clarity — Peter Lei,1
192,Current Litigation,1
193,Noninfringement — Infringement Accusations,1
194,Respondents — Federal and State Entities,1
195,Respondents — Same or Related Activities,1
196,Substantial Similarly,1
197,Noninfringement Claim,1
198,Supporting Documentation,1
199,Misrepresentation — Respondent Clarity,1
200,Legal or Beneficial Ownership (Musical Composition),1
201,Authorized Work (Sound Recording),1
202,Joint Ownership,1
203,Which work the respondent says you infringed,1
204,Infringement 1,1
205,Allegedly Infringing Activity,1
206,Copyright Registration — Deposit,1
207,Service Request Number,1
208,Clarity — Participants and Contact Information,1
209,Copyright Infringement Claim — Deposit,1
210,Copyright Infringement Claim — Improper Relief Sought,1
211,Issue — Misrepresentation Claim — No misrepresentation,1
212,Improper Relief SoughtPage 3,1
213,Claimant & Respondent Information,1
214,Declaration of Noninfringement,1
215,Authorship,1
216,Direct Infringement,1
217,Secondary Infringement,1
218,Unrelated Respondents,1
219,Copyright Infringement Claim — Same Infringing Activity,1
220,Misrepresentation Claim — Lack of Takedown Notice to OSP,1
221,Duplicate Supplementary Documents,1
222,Copyright Infringement Claim — Ownership,1
223,Copyright Infringement — Limitation on Damages,1
224,Claimant and Respondent Information,1
225,Misrepresentation Claim — Explanation,1
226,Copyright Infringement Claim — Photographs,1
227,Copyright Infringement Claim,1
228,Registration Information,1
229,Legal or Beneficial Ownership (Musical Compositions),1
230,Access (Literary Work),1
231,Clarity (Sound Recording),1
232,Registration Numbers,1
233,Copyright Infringement Claim — Legal or Beneficial Ownership Clarity,1
234,Supplemental Materials,1
235,Infringement Claim — Clarity,1
236,Copyright Infringement — Improper Relief,1
237,Clarity — Infringement Dates,1
238,Section 512(f) — Misrepresentation by Respondent,1
239,Compulsory License,1
240,Sync License,1
241,Authorship — Clarity,1
242,Proper Claimants,1
